raw_row_number,date,time,location,lat,lng,geocode_source,beat,district,subject_age,subject_race,subject_sex,officer_id_hash,officer_age,officer_race,officer_sex,officer_years_of_service,unit,type,violation,arrest_made,citation_issued,outcome,contraband_found,contraband_drugs,contraband_weapons,contraband_alcohol,contraband_other,search_conducted,search_person,search_vehicle,vehicle_make,vehicle_model,raw_race,raw_driver_race
1642025,2019-06-16,23:22:00,65XX S LOOMIS BLVD,41.8805087600001,-87.66188307,SU,725,7,31,black,male,,,,,,212,vehicular,EXPIRATION OF REGISTRATION,,,,,,,FALSE,,FALSE,FALSE,FALSE,CHEVROLET/MONTE CARLO,CHEVROLET/MONTE CARLO,BLACK,
1297798,2018-11-27,18:50:00,12XX S STATE ST,41.881440459,-87.627835131,SU,131,1,29,black,male,,,,,,1,vehicular,HEADLIGHT TWO REQUIRED-MOTOR VEHICLE,,,,,,,FALSE,,FALSE,FALSE,FALSE,"TOYOTA MOTOR COMPANY, LTD.",CAMRY,BLACK,
2022237,2020-02-04,16:56:00,19XX W DIVISION ST,41.9038650680001,-87.629472941,SU,1424,14,36,black,male,,,,,,14,vehicular,U-TURN 100FT INTERSECTION,,,,,,,FALSE,,FALSE,FALSE,FALSE,JAGUAR,UNKNOWN,BLACK,
1067968,2018-06-23,16:09:00,67XX S DORCHESTER AVE,41.8020615370001,-87.591826743,SU,332,3,30,black,female,,,,,,3,vehicular,"LIGHT, TAIL LIGHTS REQUIRED",,,,,,,FALSE,,FALSE,FALSE,FALSE,CHRYSLER/TOWN & COUNTRY,CHRYSLER/TOWN & COUNTRY,BLACK,
1247395,2018-10-25,12:54:00,71XX S LAFAYETTE AVE,41.790820583,-87.626693373,SU,731,7,25,black,female,,,,,,7,vehicular,"LIGHT, TAIL LIGHTS REQUIRED",,,,,,,FALSE,,FALSE,FALSE,FALSE,CHEVROLET/MALIBU (CHEVELLE),CHEVROLET/MALIBU (CHEVELLE),BLACK,
1575150,2019-05-10,08:05:00,XX N HAMLIN BLVD,41.8829975680001,-87.720888577,SU,1122,11,72,black,male,,,,,,11,vehicular,SEAT SAFETY BELT-FRONT SEAT,,,,,,,FALSE,,FALSE,FALSE,FALSE,BUICK,UNKNOWN,BLACK,
215370,2012-05-17,17:00:00,2400 DEVON AVE W,41.9978776,-87.6902601,GM,,,,,male,,,hispanic,male,4,,vehicular,ONE WAY STREET/ALLEY SIGNS POSTED,,TRUE,citation,,,,FALSE,,FALSE,FALSE,FALSE,,,,
500791,2016-01-10,11:00:00,3900 LAKE SHORE DR SB S,41.9532673,-87.6452796,GM,,,,,male,,,black,male,23,,vehicular,SPEEDING 35+ MPH OVER LIMIT,,TRUE,citation,,,,FALSE,,FALSE,FALSE,FALSE,,,,
1636949,2019-06-13,20:54:00,1XX E BALBO DR,41.8730189360001,-87.627382137,SU,114,1,45,white,male,,,,,,1,vehicular,HEADLIGHT TWO REQUIRED-MOTOR VEHICLE,,,,,,,FALSE,,FALSE,FALSE,FALSE,"TOYOTA MOTOR COMPANY, LTD.",Matrix (sport wagon),WHITE,
351943,2016-01-06,23:00:00,2915 PULASKI RD N,41.934177,-87.726694,GM,,,,,male,,,white,female,3,,vehicular,IVC - IMPROPER USE REGISTRATION/TITLE,,TRUE,citation,,,,FALSE,,FALSE,FALSE,FALSE,,,,
1780159,2019-09-03,14:03:00,8XX W EASTWOOD AVE,41.9664344570001,-87.650950542,SU,1914,19,35,black,male,,,,,,19,vehicular,IVC - FAIL TO SIGNAL,,,,,,,FALSE,,FALSE,FALSE,FALSE,HYUNDAI,SONATA,BLACK,
